Customer_ID,Name,DOB,DL_Number,Aadhaar_Number,Age,Door_No,Street,City,State,Country,Credit_Score,Risk_Profile,Claims_History,SRC_TRANSACTION_DATE
C0001,Jamie Bell,25/01/1972,227272,662282154096,53,779,267 Roy Landing Suite 168,Floresside,KY 72134,India,803,Low,1,03/12/2024
C0002,Carrie Nicholson,19/02/1990,746082,814740195173,35,809,754 Javier Creek Apt. 084,East John,VI 14302,India,602,High,0,27/10/2024
C0003,Michelle Davis,19/02/1949,340792,312860089533,76,335,9524 Eric Shores,Dylanborough,PR 92228,India,651,High,0,09/05/2023
C0004,Sarah Webb,20/05/1963,920503,746863388159,62,274,31593 Jasmine Underpass Apt. 093,Port Gavin,IA 45590,India,765,Medium,0,22/02/2024
C0005,Angelica Rivera,06/08/1965,566788,982130250187,59,269,224 Sosa Ford Suite 920,North Debra,VT 85807,India,693,High,0,22/08/2023
C0006,Amber Martinez,13/09/1983,487721,202073966382,41,631,968 Catherine Vista Apt. 959,Carolland,KY 80805,India,798,Medium,0,12/11/2024
C0007,Virginia Mccall,18/05/1985,518044,955242623300,40,210,01054 Ernest Keys Apt. 000,Samanthabury,MD 34083,India,660,High,0,21/09/2024
C0008,David Gonzalez,01/12/1965,218829,198003226295,59,390,42931 Jose Summit Apt. 038,Walterland,KS 03599,India,824,Low,1,06/06/2023
C0009,Karen Torres,30/05/1966,521551,222424649630,59,746,0178 Parsons Dam,North Cassandraborough,WI 24123,India,667,High,0,15/02/2025
C0010,David Lynn,24/03/1984,531372,954405948457,41,635,475 French Club,Jamieton,IL 62413,India,756,Medium,0,06/04/2025
C0011,Kenneth Martinez,29/03/1959,757661,481455714051,66,556,94520 Colton Park Suite 439,Mejiastad,CT 30973,India,674,High,0,22/05/2024
C0012,Tina Page PhD,24/08/1986,572802,366376527072,38,1,7433 Cassandra Orchard Apt. 377,Maldonadoshire,TX 63144,India,820,Low,1,08/02/2024
C0013,Michael Rodriguez,12/10/2000,358683,262581370783,24,224,7876 Hanson Terrace,Lewismouth,VT 19286,India,814,Low,3,08/02/2025
C0014,Connor Hooper,09/06/1992,436091,458855172912,33,692,971 Jennifer Place,Baileyville,WV 17509,India,797,Medium,0,11/08/2023
C0015,Cynthia Reese,04/01/1992,865156,686864439207,33,595,0131 Kevin Walk,Knappshire,ME 88135,India,600,High,0,13/09/2024
C0016,William Smith MD,09/09/1947,935125,359714098379,77,924,99604 Ashley Ranch Suite 547,Port Carolyn,HI 75615,India,749,Medium,0,14/01/2025
C0017,Kelly Monroe,17/05/1972,498153,245529643445,53,265,"PSC 8630, Box 8334",APO AE 17439,Unknown,India,809,Low,0,20/11/2023
C0018,Angela Coleman,06/10/1999,479725,260336119171,25,127,85281 Norman Square,Mckinneyville,PR 36116,India,755,Medium,0,27/03/2025
C0019,Christopher King,03/04/1978,459628,724450763560,47,890,Unit 2152 Box 1594,DPO AA 69822,Unknown,India,830,Low,1,20/05/2024
C0020,Natalie Sanchez,27/11/1976,641418,116351634563,48,298,95822 Thomas Springs Apt. 496,Navarrohaven,NV 29410,India,846,Low,0,23/05/2024
C0021,Ryan Sanchez,13/08/1968,246098,584688118505,56,994,81918 Brandon Loop,Davidmouth,NM 27768,India,750,Medium,1,08/12/2024
C0022,Laura Diaz,22/11/1991,124262,512097753813,33,758,197 Hughes Stravenue Apt. 044,Gallagherchester,PA 66466,India,616,High,0,14/10/2024
C0023,Stacey Black,21/04/1991,365519,740429369484,34,18,736 Johnson Summit Suite 037,West Jennifer,WA 22814,India,815,Low,1,04/09/2023
C0024,Ellen Hunt,19/03/1983,101631,742364192323,42,814,6123 Walton Crossing Suite 680,Ericksonview,IN 33279,India,833,Low,0,30/08/2024
C0025,Julia Rogers,29/09/1959,179889,766284151695,65,949,Unit 7135 Box 3121,DPO AE 94771,Unknown,India,717,Medium,0,17/11/2024
C0026,Jose Franco,25/05/1945,819328,137655872206,80,709,36003 Murphy Fort Apt. 864,Lake James,PW 91317,India,673,High,0,06/12/2023
C0027,Amy Ortega,16/01/1981,950336,963690529557,44,469,Unit 1561 Box 5170,DPO AP 99828,Unknown,India,666,High,0,04/07/2023
C0028,Kayla Martinez,15/06/1968,338563,681701286915,57,903,3979 Michael Corner Apt. 293,Walkerstad,PA 43001,India,678,High,1,09/05/2023
C0029,Robert Wilson,17/12/1977,288816,716693312934,47,184,2020 Samuel Loaf Apt. 298,East Sarahland,KY 91969,India,603,High,0,17/09/2023
C0030,Samantha Schultz,01/04/1975,949960,706684153393,50,820,Unit 9081 Box 8745,DPO AA 77001,Unknown,India,771,Medium,0,16/05/2024
C0031,Timothy Smith,10/04/1966,934397,367878789634,59,376,13201 Lucas Turnpike,West Wyatt,KY 77996,India,646,High,0,28/06/2024
C0032,David Sweeney,23/01/1997,148767,122351423052,28,841,76353 Hunter Port Apt. 090,West Craigville,AS 51829,India,806,Low,0,30/12/2023
C0033,Julie Burke,06/05/1981,959202,243752627892,44,632,38018 James Prairie Apt. 839,New Ryanview,MT 03526,India,722,Medium,0,03/04/2025
C0034,Isaac Wilson,27/05/1957,894021,569111836992,68,87,539 Mitchell Locks,Lake Melissa,NV 07910,India,737,Medium,0,28/08/2024
C0035,Sarah Orr,04/07/1989,913879,125753096717,35,408,98027 Ray Mills Suite 381,Petersburgh,NV 28431,India,731,Medium,0,23/07/2023
C0036,Danny Johnson,18/07/1952,651977,853132906965,72,542,28687 Wang Mountains,West Bryan,CA 79792,India,763,Medium,0,10/05/2023
C0037,Lance Preston,25/02/1968,988484,431735478328,57,221,"PSC 5259, Box 2666",APO AP 08713,Unknown,India,650,High,0,07/11/2024
